업종명,업소명,소재지(도로명),소재지(지번),영업자시작일,업태명
일반음식점,야만(Yaman),"서울특별시 동대문구 휘경로 9-5, 1층 (이문동)",서울특별시 동대문구 이문동 288-82 1층 ,2020-09-01,한식
일반음식점,스시원(元),"서울특별시 동대문구 장한로 76, 1층 (장안동)",서울특별시 동대문구 장안동 363-1 지상1층 ,2014-10-21,일식
일반음식점,럭키식당,"서울특별시 동대문구 망우로18가길 77, 1층 (휘경동)",서울특별시 동대문구 휘경동 294-222 1층 ,2020-01-03,한식
일반음식점,왕십리곱창,"서울특별시 동대문구 답십리로72길 46, 1층 (장안동)",서울특별시 동대문구 장안동 337-7 1층 ,2014-10-27,한식
일반음식점,치킨마루 이문쌍용점,"서울특별시 동대문구 한천로58길 47, 상가동 106호 (이문동, 쌍용아파트)",서울특별시 동대문구 이문동 64 쌍용아파트 상가동 106호,2014-10-28,통닭(치킨)
일반음식점,진고복식당 청량리점,"서울특별시 동대문구 왕산로 214, 청량리역,롯데백화점 7층 (전농동)","서울특별시 동대문구 전농동 591-53 청량리역,롯데백화점 ",2020-08-11,한식
일반음식점,성은식당,"서울특별시 동대문구 장한로6길 32, 1층 (장안동)",서울특별시 동대문구 장안동 460-11 1층 ,2016-01-18,통닭(치킨)
일반음식점,비스트로 구구,"서울특별시 동대문구 회기로21길 6, 2층 (회기동)",서울특별시 동대문구 회기동 45-77 2층 ,2021-01-25,기타
일반음식점,장인푸드제기점,"서울특별시 동대문구 제기로 82-1, 1층 (제기동)",서울특별시 동대문구 제기동 285-5 1층 ,2020-06-25,정종/대포집/소주방
일반음식점,왔다~생고기마을,"서울특별시 동대문구 외대역동로 80-1, 1층 (이문동)",서울특별시 동대문구 이문동 86-83 1층 ,2014-10-31,한식
일반음식점,바푸리김밥,"서울특별시 동대문구 서울시립대로12길 47, 1층 (전농동)",서울특별시 동대문구 전농동 222-5 1층 ,2014-11-06,한식
일반음식점,다와,"서울특별시 동대문구 전농로38길 89, 1층 (휘경동)",서울특별시 동대문구 휘경동 312-11 1층 ,2018-02-08,한식
일반음식점,이화,"서울특별시 동대문구 난계로30길 24, 1층 (신설동)",서울특별시 동대문구 신설동 104-49 1층 ,2021-02-19,한식
일반음식점,신화쭈꾸미,"서울특별시 동대문구 경희대로4길 74, 2층 (회기동)",서울특별시 동대문구 회기동 346-15 2층 ,2014-11-10,한식
일반음식점,모두랑즉석떡볶기,"서울특별시 동대문구 회기로23가길 20, 지하1,지상1층 (회기동)","서울특별시 동대문구 회기동 3-32 지하1,지상1층 ",2014-11-11,분식
일반음식점,맛닭꼬(경희대점),"서울특별시 동대문구 경희대로1길 3, 1층 (회기동)",서울특별시 동대문구 회기동 42-98 1층 ,2016-03-10,통닭(치킨)
