업종명,인허가일자,업소명,소재지(도로명),소재지(지번),건물내부면적,업태명
일반음식점,2007-07-24,썬더치킨(면목역점),서울특별시 중랑구 겸재로 159 (면목동),서울특별시 중랑구 면목동 119-36 ,43,호프/통닭
일반음식점,2007-07-25,송학오징어전문점,서울특별시 중랑구 면목로56길 31 (면목동),서울특별시 중랑구 면목동 408-38 ,26.64,한식
일반음식점,2007-08-21,파도회집,서울특별시 중랑구 망우로 224 (상봉동),서울특별시 중랑구 상봉동 128-46 ,86,일식
일반음식점,2007-08-27,토정,서울특별시 중랑구 면목로44바길 25 (면목동),서울특별시 중랑구 면목동 449-33 ,42.38,한식
일반음식점,2007-08-30,네네치킨 묵2동지점,서울특별시 중랑구 동일로163길 36 (묵동),서울특별시 중랑구 묵동 237-53 ,42.9,통닭(치킨)
일반음식점,2007-09-06,지붕,서울특별시 중랑구 용마산로 615 (신내동),서울특별시 중랑구 신내동 418-3 ,124.5,경양식
일반음식점,2007-09-06,남도추어탕,서울특별시 중랑구 중랑역로 3 (중화동),서울특별시 중랑구 중화동 208-28 ,52.42,한식
일반음식점,2007-09-13,동부순대국,서울특별시 중랑구 봉우재로13길 7 (면목동),서울특별시 중랑구 면목동 182-55 ,49.03,한식
일반음식점,2007-09-20,소문난 순대국,서울특별시 중랑구 용마산로115길 54 (망우동),서울특별시 중랑구 망우동 490-20 ,44.38,한식
일반음식점,2007-09-21,굽네치킨,"서울특별시 중랑구 면목로 372, 1층 (면목동)",서울특별시 중랑구 면목동 412-1 지상1층 ,33.44,통닭(치킨)
일반음식점,2007-10-01,썬더치킨,서울특별시 중랑구 겸재로 100 (면목동),서울특별시 중랑구 면목동 175-85 ,54.78,통닭(치킨)
일반음식점,2007-10-01,명가,"서울특별시 중랑구 면목로74길 16 (면목동,B동)",서울특별시 중랑구 면목동 102-17 B동 ,40.3,호프/통닭
일반음식점,2007-10-04,마산아구해물,"서울특별시 중랑구 신내로 211, 127,128호 (신내동)",서울특별시 중랑구 신내동 646 ,70.2,한식
일반음식점,2007-10-25,핫썬치킨,"서울특별시 중랑구 동일로114길 51, 1층 (상봉동)",서울특별시 중랑구 상봉동 121-3 ,66.6,통닭(치킨)
일반음식점,2007-11-13,이모네김밥,서울특별시 중랑구 봉우재로 67 (상봉동),서울특별시 중랑구 상봉동 126-28 ,34.55,분식
일반음식점,2007-11-19,왕짜장,서울특별시 중랑구 신내로14길 26 (신내동),서울특별시 중랑구 신내동 454-4 ,78,중국식
일반음식점,2007-11-21,"훈이네곱창,껍떼기",서울특별시 중랑구 봉우재로25길 24 (상봉동),서울특별시 중랑구 상봉동 110-58 ,34,정종/대포집/소주방
일반음식점,2007-11-22,먹고을전주콩나물국밥,서울특별시 중랑구 중랑역로 268 (묵동),서울특별시 중랑구 묵동 163-2 ,155.1,한식
일반음식점,2007-11-23,숲속,서울특별시 중랑구 봉우재로28길 2 (면목동),서울특별시 중랑구 면목동 132-22 ,16.9,까페
일반음식점,2007-11-27,신메골,"서울특별시 중랑구 용마산로117길 35, 동성빌딩 1층 (망우동)",서울특별시 중랑구 망우동 488-16 동성빌딩 ,20,호프/통닭
일반음식점,2007-11-28,해바라기 정육식당,"서울특별시 중랑구 봉화산로56길 77 (신내동, 1층)",서울특별시 중랑구 신내동 449-3 1층 ,191.44,한식
일반음식점,2007-12-06,피자타운,"서울특별시 중랑구 봉우재로57길 35, 1층 (망우동)",서울특별시 중랑구 망우동 508-20 ,57.39,패스트푸드
일반음식점,2007-12-10,신쭈꾸,서울특별시 중랑구 겸재로54길 8 (면목동),서울특별시 중랑구 면목동 104-19 ,22.08,한식
일반음식점,2007-12-11,은하호프,서울특별시 중랑구 상봉로 17 (면목동),서울특별시 중랑구 면목동 71-41 ,104.22,호프/통닭
일반음식점,2008-01-18,다사랑,서울특별시 중랑구 중랑역로 172 (묵동),서울특별시 중랑구 묵동 244-108 ,18.16,까페
일반음식점,2008-01-22,망우쭈꾸미,"서울특별시 중랑구 용마산로 428, 1층 (면목동)",서울특별시 중랑구 면목동 17-33 1층 ,120.56,한식
일반음식점,2008-01-22,궁중칼국수,서울특별시 중랑구 상봉로 3 (면목동),서울특별시 중랑구 면목동 67-1 ,26.86,한식
일반음식점,2008-02-11,다영,서울특별시 중랑구 면목로 427 (면목동),서울특별시 중랑구 면목동 126-2 ,78.48,호프/통닭
일반음식점,2008-02-18,궁전커피호프,서울특별시 중랑구 동일로139길 29 (중화동),서울특별시 중랑구 중화동 310-1 ,71.77,호프/통닭
일반음식점,2008-02-21,태명,서울특별시 중랑구 공릉로12가길 20 (묵동),서울특별시 중랑구 묵동 77-42 ,28.34,한식
일반음식점,2008-02-25,우림닭한마리,"서울특별시 중랑구 용마산로115길 26, 1층 (망우동, SM빌딩)",서울특별시 중랑구 망우동 470-24 SM빌딩 ,103.29,한식
일반음식점,2008-03-04,토종순대국,서울특별시 중랑구 망우로36길 36 (상봉동),서울특별시 중랑구 상봉동 127-13 ,26.2,한식
일반음식점,2008-03-05,소문난 사골 손 칼국수,서울특별시 중랑구 면목로92길 6 (상봉동),서울특별시 중랑구 상봉동 107 ,50.72,한식
일반음식점,2008-03-13,한스델리,서울특별시 중랑구 망우로32길 14 (상봉동),서울특별시 중랑구 상봉동 130-130 ,76.65,분식
일반음식점,2008-03-14,전주식당,서울특별시 중랑구 답십리로 391 (면목동),서울특별시 중랑구 면목동 392-46 ,56.3,한식
일반음식점,2008-03-17,로또,서울특별시 중랑구 망우로 216-12 (상봉동),서울특별시 중랑구 상봉동 129-72 ,31.63,까페
일반음식점,2008-03-25,레인보우(RAINBOW),서울특별시 중랑구 봉우재로 1 (면목동),서울특별시 중랑구 면목동 191-89 ,41.48,기타
일반음식점,2008-04-11,어항단지회국수전문점,서울특별시 중랑구 겸재로 94 (면목동),서울특별시 중랑구 면목동 174-101 ,32.19,일식
일반음식점,2008-04-25,기와집,서울특별시 중랑구 면목로45길 15-3 (면목동),서울특별시 중랑구 면목동 601-19 ,44.98,식육(숯불구이)
일반음식점,2008-04-30,이쁜이호프,"서울특별시 중랑구 겸재로50길 24, 1층 (면목동)",서울특별시 중랑구 면목동 106-36 ,37.56,호프/통닭
일반음식점,2008-05-01,대일호프,서울특별시 중랑구 봉우재로 97 (상봉동),서울특별시 중랑구 상봉동 125-1 ,119.5,정종/대포집/소주방
일반음식점,2008-05-09,상봉홍어삼합보쌈빈대떡파전모듬전,서울특별시 중랑구 망우로42길 17 (상봉동),서울특별시 중랑구 상봉동 114-62 ,18.91,한식
일반음식점,2008-05-30,대사관,서울특별시 중랑구 망우로36길 14 (상봉동),서울특별시 중랑구 상봉동 129-26 ,39.1,호프/통닭
일반음식점,2008-06-26,여울목찜쌈밥,서울특별시 중랑구 동일로99길 47 (면목동),서울특별시 중랑구 면목동 177-36 ,45.9,한식
일반음식점,2008-07-07,발리호프,"서울특별시 중랑구 겸재로 225, 2층 (면목동)",서울특별시 중랑구 면목동 74-42 ,185.7,호프/통닭
일반음식점,2008-07-15,사가정민물매운탕,서울특별시 중랑구 면목로44길 7 (면목동),서울특별시 중랑구 면목동 459-7 ,22,한식
일반음식점,2008-07-16,우선식당,서울특별시 중랑구 답십리로81길 101 (면목동),서울특별시 중랑구 면목동 373-1 ,114.12,한식
일반음식점,2008-08-13,엄마가차려주신식탁,서울특별시 중랑구 동일로99길 46 (면목동),서울특별시 중랑구 면목동 178-39 ,27.5,한식
일반음식점,2008-09-04,동보,서울특별시 중랑구 상봉로20길 34 (망우동),서울특별시 중랑구 망우동 503-10 ,27.52,한식
일반음식점,2008-09-10,가람호프,서울특별시 중랑구 망우로 217 (중화동),서울특별시 중랑구 중화동 208-32 ,85.58,호프/통닭
일반음식점,2008-09-18,쉼터분식,서울특별시 중랑구 신내로7가길 73 (상봉동),서울특별시 중랑구 상봉동 27-3 ,31.3,분식
일반음식점,2008-09-19,안흥갈비,서울특별시 중랑구 망우로 425-1 (망우동),서울특별시 중랑구 망우동 487-12 ,133.2,한식
일반음식점,2008-09-19,청룡각,서울특별시 중랑구 면목로 381-1 (면목동),서울특별시 중랑구 면목동 504-4 ,31.01,중국식
일반음식점,2008-09-22,토종식당,서울특별시 중랑구 망우로42길 20 (상봉동),서울특별시 중랑구 상봉동 119-46 ,29.1,한식
일반음식점,2008-09-30,소문난순대국·왕족발,서울특별시 중랑구 동일로109길 54 (면목동),서울특별시 중랑구 면목동 185-103 ,29.5,한식
일반음식점,2008-10-06,네네치킨 망우점,서울특별시 중랑구 봉우재로70길 5 (망우동),서울특별시 중랑구 망우동 458-4 ,30.2,통닭(치킨)
일반음식점,2008-10-13,이모네밥집,서울특별시 중랑구 면목로57길 19 (면목동),서울특별시 중랑구 면목동 501-9 ,26.8,한식
일반음식점,2008-10-15,배달천국,서울특별시 중랑구 겸재로9길 16 (면목동),서울특별시 중랑구 면목동 176-22 ,29.4,한식
일반음식점,2008-11-19,초원호프,서울특별시 중랑구 중랑천로12길 30 (상봉동),서울특별시 중랑구 상봉동 136-82 ,95.06,호프/통닭
일반음식점,2008-11-26,아리랑식당,서울특별시 중랑구 신내로1길 14 (신내동),서울특별시 중랑구 신내동 495-41 ,27.03,한식
일반음식점,2009-02-27,혜진네마차,서울특별시 중랑구 용마산로116길 26 (망우동),서울특별시 중랑구 망우동 361-2 ,24,호프/통닭
일반음식점,2009-03-11,멋쟁이,서울특별시 중랑구 면목로 372 (면목동),서울특별시 중랑구 면목동 412-1 ,51.2,호프/통닭
일반음식점,2009-03-12,묵은지생고기,서울특별시 중랑구 봉우재로 155 (상봉동),서울특별시 중랑구 상봉동 87-27 ,48.1,한식
일반음식점,2009-03-12,기차여행,서울특별시 중랑구 면목로 383 (면목동),서울특별시 중랑구 면목동 504-2 ,17,호프/통닭
일반음식점,2009-03-17,대성식당,"서울특별시 중랑구 면목로33길 14, 1층 (면목동)",서울특별시 중랑구 면목동 352-20 ,25,한식
일반음식점,2009-03-26,아름다운닭,서울특별시 중랑구 용마산로106길 7 (망우동),서울특별시 중랑구 망우동 410-6 ,34.9,통닭(치킨)
일반음식점,2009-05-06,치킨뱅이,"서울특별시 중랑구 망우로 292, 1층 (상봉동)",서울특별시 중랑구 상봉동 115-5 1층 ,19.53,호프/통닭
일반음식점,2009-05-13,참새방앗간,서울특별시 중랑구 동일로95길 22 (면목동),서울특별시 중랑구 면목동 175-46 ,33.6,호프/통닭
일반음식점,2009-05-22,회·오징어나라,서울특별시 중랑구 동일로96길 51 (면목동),서울특별시 중랑구 면목동 155-56 ,25.2,횟집
일반음식점,2009-05-25,조개몽땅,"서울특별시 중랑구 공릉로4길 4, 102호 (묵동,묵동해오름아파트상가)",서울특별시 중랑구 묵동 174-9 묵동해오름아파트상가 102호,140.56,횟집
일반음식점,2009-06-08,진옻닭,서울특별시 중랑구 겸재로 207 (면목동),서울특별시 중랑구 면목동 103-4 ,33.1,한식
일반음식점,2009-06-18,우주,서울특별시 중랑구 동일로 801 (중화동),서울특별시 중랑구 중화동 305-40 ,85.32,호프/통닭
일반음식점,2009-06-18,김치솥뚜껑삼겹살,서울특별시 중랑구 답십리로77길 35 (면목동),서울특별시 중랑구 면목동 383-1 ,32.9,한식
일반음식점,2009-07-06,뚜주르(tou jours),서울특별시 중랑구 신내로7가길 13 (신내동),서울특별시 중랑구 신내동 530-4 ,29.3,통닭(치킨)
일반음식점,2009-07-07,솔잎구내식당,서울특별시 중랑구 동일로 865 (묵동),서울특별시 중랑구 묵동 245-4 ,23.6,한식
일반음식점,2009-07-14,머니데이,서울특별시 중랑구 중랑천로20길 4 (중화동),서울특별시 중랑구 중화동 323-108 ,27.2,호프/통닭
일반음식점,2009-07-21,청사초롱,서울특별시 중랑구 동일로163길 21 (묵동),서울특별시 중랑구 묵동 239-137 ,56.93,한식
일반음식점,2009-07-23,원조멸치국수전문점,"서울특별시 중랑구 용마산로115길 109, S2003호 (망우동, 한일써너스빌리젠시2단지)",서울특별시 중랑구 망우동 495 ,52.4,분식
