업종명,인허가일자,업소명,소재지(도로명),소재지(지번),건물내부면적,업태명,데이터기준일자
일반음식점,1996-10-01,커피에 진심을 담다,"서울특별시 양천구 등촌로 102-1, 현정빌딩 1층 103호 (목동)","서울특별시 양천구 목동 722-1 1층, 현정빌딩 103호",56.76,기타,2022-09-30
일반음식점,1996-11-01,최가네식당,서울특별시 양천구 신월로 184-1 (신월동),서울특별시 양천구 신월동 601-21 ,33,한식,2022-09-30
일반음식점,1996-12-10,스시벅,"서울특별시 양천구 목동동로 256, 1층 (목동)",서울특별시 양천구 목동 406-223 ,106.2,일식,2022-09-30
일반음식점,1996-12-26,흥부보리밥놀부전골,서울특별시 양천구 신정중앙로17길 8 (신정동),서울특별시 양천구 신정동 889-2 ,36.95,한식,2022-09-30
일반음식점,1996-06-05,꿀족발,서울특별시 양천구 중앙로34길 26-9 (신정동),서울특별시 양천구 신정동 1029-4 ,11.18,기타,2022-09-30
일반음식점,1996-11-01,피자롤,"서울특별시 양천구 목동서로2길 22, 상가동 1층 10호 (목동, 한신청구아파트)",서울특별시 양천구 목동 929 한신청구아파트 상가동 10호,20.35,패스트푸드,2022-09-30
일반음식점,1996-10-22,시골밥상,"서울특별시 양천구 남부순환로36길 9, 1층 (신월동)",서울특별시 양천구 신월동 49-26 ,25,한식,2022-09-30
일반음식점,1997-01-22,민속순대국,"서울특별시 양천구 목동서로 213, 지하층 105,106호 (목동, 세신빌딩 )","서울특별시 양천구 목동 923 지하 105,106호 ",55.23,한식,2022-09-30
일반음식점,1997-02-14,한솥도시락,"서울특별시 양천구 목동동로 423 (목동,이화프라자104)",서울특별시 양천구 목동 909-8 이화프라자104 ,28.41,분식,2022-09-30
일반음식점,1997-03-31,한옥안동국시,"서울특별시 양천구 목동서로 213, 세신비젼프라자 지하1층 B101,102,103,104호 (목동)","서울특별시 양천구 목동 923 세신비젼프라자 지하1층 B101,102,103,104호 ",118.51,한식,2022-09-30
일반음식점,1997-04-09,진미떡볶이,"서울특별시 양천구 목동로19길 6, 지상1층 (신정동)",서울특별시 양천구 신정동 993-6 지상1층 ,66.1,한식,2022-09-30
일반음식점,1997-05-02,금복국,"서울특별시 양천구 목동서로 213 (목동, 세신비젼프라자 212,213,214호)","서울특별시 양천구 목동 923 세신비젼프라자 212,213,214호 ",95.75,복어취급,2022-09-30
일반음식점,1997-05-02,동촌,"서울특별시 양천구 등촌로 110 (목동,104호)",서울특별시 양천구 목동 721-2 104호 ,97,한식,2022-09-30
일반음식점,1997-06-18,참존숯불바베큐치킨,"서울특별시 양천구 목동중앙본로 119-1, 지상1층 (목동)",서울특별시 양천구 목동 506-2 지상1층 ,69.66,한식,2022-09-30
일반음식점,1997-06-19,목련나무집,"서울특별시 양천구 오목로11길 5-6, 가동 (신월동)",서울특별시 양천구 신월동 489-11 가동 ,71.38,한식,2022-09-30
일반음식점,1997-06-25,588이야기,서울특별시 양천구 월정로17길 3 (신월동),서울특별시 양천구 신월동 236-9 ,29.47,기타,2022-09-30
일반음식점,1997-07-02,백년갈비,"서울특별시 양천구 지양로 57 (신월동, A동 1층)",서울특별시 양천구 신월동 988-1 A동 1층 ,92.17,한식,2022-09-30
일반음식점,1997-07-18,임꺽정부대찌개,서울특별시 양천구 목동동로12길 27 (목동),서울특별시 양천구 목동 405-178 ,29.88,한식,2022-09-30
일반음식점,1997-08-01,동해진미,서울특별시 양천구 목동중앙북로 89-6 (목동),서울특별시 양천구 목동 513-16 ,143.01,일식,2022-09-30
